video_id,title,uploader,duration_s,webpage_url,query_tag,query_text,local_path,downloaded_at_utc
ai_pika_04,rainy street,local_import,0,,pika,Pika local AI sample,"dataset\ai_baseline\A_person_running_through_a_rainy_street_at_night,_motion_blur,_neon_reflections,_cinematic_seed2919283241.mp4",2026-03-29T08:20:55+00:00
ai_pika_05,futuristic city,local_import,0,,pika,Pika local AI sample,"dataset\ai_baseline\Futuristic_city_with_flying_cars,_night_scene,_cyberpunk_aesthetic,_cinematic_seed3785256296.mp4",2026-03-29T08:21:00+00:00
27waGnDumbE,ATLANTIS | AI Short Film | RUNWAY GEN-3,Stellar AI Visions,130,https://www.youtube.com/watch?v=27waGnDumbE,runway,Runway Gen-3 AI short film,dataset\ai_baseline\27waGnDumbE_ATLANTIS ｜ AI Short Film ｜ RUNWAY GEN-3.mp4,2026-03-20T10:39:38.234971+00:00
t_SgA6ymPuc,POOF | AI Short Film,Pizza Later,59,https://www.youtube.com/watch?v=t_SgA6ymPuc,runway,Runway Gen-3 AI short film,dataset\ai_baseline\t_SgA6ymPuc_POOF ｜ AI Short Film.mp4,2026-03-20T10:39:40.794349+00:00
jhuQnVN3YW0,AI Cinematic Story: Created with Runway Gen-3 | Midjourney | Adobe,Hidden Space,75,https://www.youtube.com/watch?v=jhuQnVN3YW0,runway,Runway Gen-3 AI short film,dataset\ai_baseline\jhuQnVN3YW0_AI Cinematic Story： Created with Runway Gen-3 ｜ Midjourney ｜ Adobe.mp4,2026-03-20T10:39:43.880182+00:00
yznPJdy6apc,UPLOAD | AI Short Film | Runway Gen:48 3rd Edition,Gabe Michael,167,https://www.youtube.com/watch?v=yznPJdy6apc,runway,Runway Gen-3 AI short film,dataset\ai_baseline\yznPJdy6apc_UPLOAD ｜ AI Short Film ｜ Runway Gen：48 3rd Edition.mp4,2026-03-20T10:39:47.990967+00:00
eCr0fskkBWs,WAR DRUM: A Powerful AI Short Film Using Runway Gen-3 Alpha,Ehud Ai studio,96,https://www.youtube.com/watch?v=eCr0fskkBWs,runway,Runway Gen-3 AI short film,dataset\ai_baseline\eCr0fskkBWs_WAR DRUM： A Powerful AI Short Film Using Runway Gen-3 Alpha.mp4,2026-03-20T10:39:51.235497+00:00
ZDLQik-10us,Futuristic Cities VI Sci-fi AI Short Film | RUNWAY GEN-3,CHARTOL,168,https://www.youtube.com/watch?v=ZDLQik-10us,runway,Runway Gen-3 AI short film,dataset\ai_baseline\ZDLQik-10us_Futuristic Cities VI Sci-fi AI Short Film ｜ RUNWAY GEN-3.mp4,2026-03-20T10:39:59.436534+00:00
RszdU7FnC1k,"AI FILM - Nu Abyss - AI generated short video #14 | Runway Gen-3, Udio",TRGNY,105,https://www.youtube.com/watch?v=RszdU7FnC1k,runway,Runway Gen-3 AI short film,"dataset\ai_baseline\RszdU7FnC1k_AI FILM - Nu Abyss - AI generated short video #14 ｜ Runway Gen-3, Udio.mp4",2026-03-20T10:40:02.032804+00:00
AwKSrJFvdps,Introducing Gen-4.5 Image to Video | Runway,Runway,69,https://www.youtube.com/watch?v=AwKSrJFvdps,runway,Runway AI generated video,dataset\ai_baseline\AwKSrJFvdps_Introducing Gen-4.5 Image to Video ｜ Runway.mp4,2026-03-20T10:40:04.499245+00:00
KUHx-2uz_qI,"Introducing Runway Aleph | A new way to edit, transform and generate video.",Runway,67,https://www.youtube.com/watch?v=KUHx-2uz_qI,runway,Runway AI generated video,"dataset\ai_baseline\KUHx-2uz_qI_Introducing Runway Aleph ｜ A new way to edit, transform and generate video..mp4",2026-03-20T10:40:06.869484+00:00
ei2PsDpPbB4,Introducing Gen-4.5 | Runway,Runway,88,https://www.youtube.com/watch?v=ei2PsDpPbB4,runway,Runway AI generated video,dataset\ai_baseline\ei2PsDpPbB4_Introducing Gen-4.5 ｜ Runway.mp4,2026-03-20T10:40:09.122645+00:00
Zb3tffmBPRE,Introducing Luma Dream Machine - Next Generation AI Video,Luma,33,https://www.youtube.com/watch?v=Zb3tffmBPRE,luma,Luma Dream Machine AI video,dataset\ai_baseline\Zb3tffmBPRE_Introducing Luma Dream Machine - Next Generation AI Video.mp4,2026-03-20T10:40:10.747587+00:00
onrLtMRzELA,Luma Dream Machine - Image to AI Video compilation,sickleandsuckle,55,https://www.youtube.com/watch?v=onrLtMRzELA,luma,Luma Dream Machine AI video,dataset\ai_baseline\onrLtMRzELA_Luma Dream Machine - Image to AI Video compilation.mp4,2026-03-20T10:40:12.361919+00:00
JoAAuWNTB48,Luma Dream Machine - Image To Video Ai,Wulfranz,74,https://www.youtube.com/watch?v=JoAAuWNTB48,luma,Luma Dream Machine AI video,dataset\ai_baseline\JoAAuWNTB48_Luma Dream Machine - Image To Video Ai.mp4,2026-03-20T10:40:14.819365+00:00
3j5Mo15RmS0,Luma AI - Introducing Modify Video,Luma,64,https://www.youtube.com/watch?v=3j5Mo15RmS0,luma,Luma Dream Machine AI video,dataset\ai_baseline\3j5Mo15RmS0_Luma AI - Introducing Modify Video.mp4,2026-03-20T10:40:17.548876+00:00
1ugUllz4wCs,PIKA AI Video Generator Unveils PikaSwap VFX Animation,How To In 5 Minutes,115,https://www.youtube.com/watch?v=1ugUllz4wCs,pika,Pika AI generated video,dataset\ai_baseline\1ugUllz4wCs_PIKA AI Video Generator Unveils PikaSwap VFX Animation.mp4,2026-03-20T10:40:20.114442+00:00
LHHI-Q36wIM,Pika Labs 2.2 Review | Free AI Video Generator With Sound & Lip Sync,Neural Net,74,https://www.youtube.com/watch?v=LHHI-Q36wIM,pika,Pika AI generated video,dataset\ai_baseline\LHHI-Q36wIM_Pika Labs 2.2 Review ｜ Free AI Video Generator With Sound & Lip Sync.mp4,2026-03-20T10:40:24.236011+00:00
lEcg6AJ6DVY,This is Sora 2,OpenAI,57,https://www.youtube.com/watch?v=lEcg6AJ6DVY,sora,OpenAI Sora AI video demo,dataset\ai_baseline\lEcg6AJ6DVY_This is Sora 2.mp4,2026-03-20T10:40:26.080456+00:00
1PaoWKvcJP0,Sound on for Sora 2,OpenAI,134,https://www.youtube.com/watch?v=1PaoWKvcJP0,sora,OpenAI Sora AI video demo,dataset\ai_baseline\1PaoWKvcJP0_Sound on for Sora 2.mp4,2026-03-20T10:40:28.245259+00:00
iVtqtu6HceI,Echoes of Grace · Kaku Drop with Sora,OpenAI,34,https://www.youtube.com/watch?v=iVtqtu6HceI,sora,OpenAI Sora AI video demo,dataset\ai_baseline\iVtqtu6HceI_Echoes of Grace · Kaku Drop with Sora.mp4,2026-03-20T10:40:30.211241+00:00
tRSdt5kmeW0,OpenAI Sora in Action: Tokyo Walk,RetroFuturista,60,https://www.youtube.com/watch?v=tRSdt5kmeW0,sora,OpenAI Sora AI video demo,dataset\ai_baseline\tRSdt5kmeW0_OpenAI Sora in Action： Tokyo Walk.mp4,2026-03-20T10:40:33.036481+00:00
pNMMFov2f_c,Sora 2 vs Veo 3 Comparison: Which Wins?,Ai Chemy,140,https://www.youtube.com/watch?v=pNMMFov2f_c,sora,OpenAI Sora AI video demo,dataset\ai_baseline\pNMMFov2f_c_Sora 2 vs Veo 3 Comparison： Which Wins？.mp4,2026-03-20T10:40:44.666150+00:00
xvs7p5KfPqM,OpenAI Sora AI Video – Walking in New York City | AI-Generated Video Clips,জিন্নাত উল হাসান,20,https://www.youtube.com/watch?v=xvs7p5KfPqM,sora,OpenAI Sora AI video demo,dataset\ai_baseline\xvs7p5KfPqM_OpenAI Sora AI Video – Walking in New York City ｜ AI-Generated Video Clips.mp4,2026-03-20T10:40:47.532143+00:00
aGS_l6n_cUM,The Wildest AI Film Trailer You'll See Today! (Veo 3.1/Sora-2 & More!),Theoretically Media,103,https://www.youtube.com/watch?v=aGS_l6n_cUM,synthetic,AI generated cinematic video,dataset\ai_baseline\aGS_l6n_cUM_The Wildest AI Film Trailer You'll See Today! (Veo 3.1⧸Sora-2 & More!).mp4,2026-03-20T10:40:50.372680+00:00
TE4aUItCrjs,How to Convert Text to Video with AI in 1 Minute!,VEED STUDIO,155,https://www.youtube.com/watch?v=TE4aUItCrjs,synthetic,text to video AI demo,dataset\ai_baseline\TE4aUItCrjs_How to Convert Text to Video with AI in 1 Minute!.mp4,2026-03-20T10:40:52.859053+00:00
y2dynet9Gvg,A.I. Powered Video Creation: Text to Video Workflow - Product Demo,Vedia,71,https://www.youtube.com/watch?v=y2dynet9Gvg,synthetic,text to video AI demo,dataset\ai_baseline\y2dynet9Gvg_A.I. Powered Video Creation： Text to Video Workflow - Product Demo.mp4,2026-03-20T10:40:54.223279+00:00
g2p-dLf3VSQ,Turn Text into Stunning Videos! | LitVideo AI Text to Video Generator Demo,Lit Media,24,https://www.youtube.com/watch?v=g2p-dLf3VSQ,synthetic,text to video AI demo,dataset\ai_baseline\g2p-dLf3VSQ_Turn Text into Stunning Videos! ｜ LitVideo AI Text to Video Generator Demo.mp4,2026-03-20T10:40:58.774645+00:00
76bo8tbXREk,Turn Scripts into Animated Explainer Videos with One Click!,Wondershare Anireel,16,https://www.youtube.com/watch?v=76bo8tbXREk,synthetic,text to video AI demo,dataset\ai_baseline\76bo8tbXREk_Turn Scripts into Animated Explainer Videos with One Click!.mp4,2026-03-20T10:41:00.223225+00:00
OpWCyAXoPvs,Klappz AI Demo : Text-to-video In 3 Clicks Without Skills,Be Perfect,54,https://www.youtube.com/watch?v=OpWCyAXoPvs,synthetic,text to video AI demo,dataset\ai_baseline\OpWCyAXoPvs_Klappz AI Demo ： Text-to-video In 3 Clicks Without Skills.mp4,2026-03-20T10:41:01.930661+00:00
oDOyIiYrBGM,What is a demo video?,Synthesia,10,https://www.youtube.com/watch?v=oDOyIiYrBGM,synthetic,text to video AI demo,dataset\ai_baseline\oDOyIiYrBGM_What is a demo video？.mp4,2026-03-20T10:41:03.815221+00:00
6ZxSGXqdcxw,Invideo AI – Text to Video Demo,Ordinary Ollie,128,https://www.youtube.com/watch?v=6ZxSGXqdcxw,synthetic,text to video AI demo,dataset\ai_baseline\6ZxSGXqdcxw_Invideo AI – Text to Video Demo.mp4,2026-03-20T10:41:06.646092+00:00
mlXiYvBE4kw,"Higsfield AI Full Demo: Text to Video, Animated Characters, Lip Sync, Editing",Nova Toolbox,123,https://www.youtube.com/watch?v=mlXiYvBE4kw,synthetic,text to video AI demo,"dataset\ai_baseline\mlXiYvBE4kw_Higsfield AI Full Demo： Text to Video, Animated Characters, Lip Sync, Editing.mp4",2026-03-20T10:41:09.802300+00:00
